"match_id","date","season","home_team","away_team","result","home_goals","away_goals","home_last5_win_pct","away_last5_win_pct","home_form","away_form","home_streak","away_streak","home_avg_goals_scored","away_avg_goals_scored","home_avg_goals_conceded","away_avg_goals_conceded","home_shots_avg","away_shots_avg","home_corners_avg","away_corners_avg","home_cards_avg","away_cards_avg","home_league_position","away_league_position","home_is_favorite","bet_odds_home","bet_odds_draw","bet_odds_away"
"20201022-Malaga-SpGijon",2020-10-22,"20_21","Malaga","Sp Gijon","H",1,0,0.6,0.6,2,2,1,0,0.8,1,1,0.4,7.6,8,2.8,3.2,2.8,2.6,8,3,1,2.62,2.9,2.9
"20201022-Oviedo-Vallecano",2020-10-22,"20_21","Oviedo","Vallecano","D",0,0,0.2,0.6,1,1.8,0,1,0.6,1.4,1,1,8,11.8,3,7,3,2.6,15,7,0,3,3,2.5
"20201024-Cartagena-LasPalmas",2020-10-24,"20_21","Cartagena","Las Palmas","H",3,0,0.4,0.6,1.6,2.2,0,2,1.4,1.6,1.2,0.8,10.6,9.6,4.4,2.8,2.6,3.2,11,7,1,2.3,3,3.4
"20201024-Logrones-Lugo",2020-10-24,"20_21","Logrones","Lugo","A",2,3,0.2,0.4,1,1.2,0,2,0.6,1,0.8,1,10.2,8.6,6.4,4.6,1.6,4.2,20,12,1,2.7,2.8,3
"20201024-Almeria-Fuenlabrada",2020-10-24,"20_21","Almeria","Fuenlabrada","H",3,0,0.2,0.4,0.8,1.8,0,0,0.6,0.8,1,0.4,9.6,11.2,3.6,3.6,2.8,3.4,21,2,1,2.3,2.9,3.5
"20201024-Castellon-Girona",2020-10-24,"20_21","Castellon","Girona","A",0,1,0.2,0.4,1,1.2,0,0,1,0.4,1,1.2,8,11,6,5.4,2.4,3.2,13,16,0,2.87,2.87,2.7
"20201025-SpGijon-Ponferradina",2020-10-25,"20_21","Sp Gijon","Ponferradina","H",2,1,0.4,0.8,1.4,2.4,0,1,0.8,1.4,0.6,0.4,7.2,9.8,3.2,3,2.8,2.8,3,6,1,2.25,2.75,3.75
"20201025-Leganes-Oviedo",2020-10-25,"20_21","Leganes","Oviedo","H",2,1,0.6,0.2,1.8,1,2,0,1,0.4,0.8,0.8,12.6,7.6,6.6,3.2,3.2,3.2,9,16,1,1.85,3,5
"20201025-Tenerife-Espanol",2020-10-25,"20_21","Tenerife","Espanol","D",0,0,0.2,0.8,0.8,2.4,0,1,0.6,1.2,1.2,0.2,10.4,9.4,2.8,4.4,3.4,1.4,16,1,0,3.1,2.9,2.5
"20201025-Albacete-Vallecano",2020-10-25,"20_21","Albacete","Vallecano","H",2,1,0.2,0.4,1,1.4,0,0,0.8,1,0.6,0.8,8.6,10.2,5.4,6.4,2.6,3,21,4,0,3.1,3,2.5
"20201025-Malaga-Mirandes",2020-10-25,"20_21","Malaga","Mirandes","D",1,1,0.6,0.4,2,1.4,2,0,0.8,0.8,1,0.8,9.8,8.4,3,5.2,2,1.4,6,12,1,2.2,3,3.6
"20201025-Zaragoza-Sabadell",2020-10-25,"20_21","Zaragoza","Sabadell","D",0,0,0.2,0,1,0,0,0,0.8,0.2,1,1.8,10.8,8.4,5.2,4,2.8,2.4,20,22,1,1.85,3.4,4.5
"20201026-Alcorcon-Mallorca",2020-10-26,"20_21","Alcorcon","Mallorca","A",0,2,0.2,0.6,1,2.2,0,0,0.4,0.8,0.4,0,7,10,3,4.8,1.4,2.6,20,9,0,2.8,2.8,2.8
"20201027-Girona-Cartagena",2020-10-27,"20_21","Girona","Cartagena","H",2,1,0.6,0.6,1.8,2.2,1,1,0.6,1.8,0.8,0.6,8.4,9.8,3.4,4.2,2.8,3,13,8,1,2,3,4.33
"20201028-Albacete-LasPalmas",2020-10-28,"20_21","Albacete","Las Palmas","D",1,1,0.4,0.6,1.6,2,1,0,1.2,1.2,0.6,1,9.2,9.8,5,3.4,2.4,3.4,15,10,1,2.55,2.9,3.1
"20201028-Castellon-Almeria",2020-10-28,"20_21","Castellon","Almeria","A",1,2,0.2,0.2,0.8,0.8,0,1,0.8,0.8,1,1,8.2,9.4,6.4,4,2.4,2,15,17,0,2.87,2.8,2.75
"20201028-Espanol-Ponferradina",2020-10-28,"20_21","Espanol","Ponferradina","H",2,0,0.6,0.6,2,1.8,0,0,0.8,1.2,0.2,0.8,11.4,9,5.4,2.6,1.6,3,1,9,1,1.5,3.6,8.5
"20201028-Oviedo-Logrones",2020-10-28,"20_21","Oviedo","Logrones","A",2,3,0.2,0.2,1,0.8,0,0,0.6,0.8,0.8,1.2,7.8,9,2.6,5,3.2,2.2,18,21,1,2.25,2.8,3.8
"20201029-Mirandes-Zaragoza",2020-10-29,"20_21","Mirandes","Zaragoza","H",1,0,0.2,0.2,1,1,0,0,0.6,0.4,0.8,0.6,8.8,10.4,4.8,5,1.4,2,14,20,0,2.9,3,2.62
"20201029-Mallorca-Malaga",2020-10-29,"20_21","Mallorca","Malaga","H",3,1,0.6,0.4,2.2,1.6,1,0,1,0.8,0,1.2,9.6,9.4,5,2.8,2.8,1.8,4,6,1,1.95,3.1,4.2
"20201029-Alcorcon-SpGijon",2020-10-29,"20_21","Alcorcon","Sp Gijon","A",1,2,0.2,0.4,0.8,1.4,0,1,0.4,0.8,0.8,0.8,8,8.4,3.6,3.2,1.4,2.6,21,4,0,2.8,2.8,2.8
"20201029-Tenerife-Lugo",2020-10-29,"20_21","Tenerife","Lugo","D",1,1,0.2,0.6,1,1.8,0,3,0.4,1.6,0.8,1,9.8,9.6,3,4,3,4.4,18,11,1,2,2.8,4.75
"20201029-Vallecano-Fuenlabrada",2020-10-29,"20_21","Vallecano","Fuenlabrada","H",2,0,0.4,0.2,1.4,1.2,0,0,1.2,0.6,0.6,1,10.4,10.2,5.4,3.8,2.6,4.2,6,7,1,2,3,4.2
"20201031-Cartagena-Albacete",2020-10-31,"20_21","Cartagena","Albacete","H",3,1,0.4,0.4,1.6,1.6,0,0,1.6,1.2,0.8,0.6,8.4,8,4.4,4.2,3.2,1.8,11,15,1,2.1,2.9,3.75
"20201031-LasPalmas-Oviedo",2020-10-31,"20_21","Las Palmas","Oviedo","A",1,2,0.4,0.2,1.6,0.8,0,0,1,0.8,1,1.2,9.6,8.4,2.4,3.6,3.6,3,9,19,1,2,2.9,4
"20201101-Fuenlabrada-Tenerife",2020-11-01,"20_21","Fuenlabrada","Tenerife","D",1,1,0,0.2,0.6,1.2,0,0,0.4,0.6,1.4,0.6,11,9.2,4,3.6,3.8,3.6,11,16,1,2.45,2.6,3.6
"20201101-Zaragoza-Mallorca",2020-11-01,"20_21","Zaragoza","Mallorca","D",0,0,0.2,0.6,0.8,2.2,0,2,0.4,1.2,0.8,0.2,10,10,4,5.4,1.8,3,21,3,0,2.7,2.9,2.7
"20201101-Leganes-Mirandes",2020-11-01,"20_21","Leganes","Mirandes","H",1,0,0.6,0.4,1.8,1.6,0,1,0.8,0.8,0.6,0.6,11,9.8,6,4.6,3.2,0.8,7,9,1,1.95,2.9,4
"20201101-Ponferradina-Sabadell",2020-11-01,"20_21","Ponferradina","Sabadell","A",0,3,0.4,0.2,1.2,0.8,0,1,0.6,0.2,1.2,1.2,11,8.4,3.2,5,3.6,1.8,13,22,1,1.75,3.25,5.25
"20201101-Almeria-Girona",2020-11-01,"20_21","Almeria","Girona","D",0,0,0.4,0.8,1.4,2.4,2,2,1.2,1,1,0.8,9,11,3,3,2.8,2.2,14,13,1,2.45,2.9,3.1
"20201101-Lugo-Vallecano",2020-11-01,"20_21","Lugo","Vallecano","H",1,0,0.6,0.4,2,1.4,0,1,1.6,0.8,0.8,0.6,8.6,10.6,3,4.6,3.6,3,9,4,0,3.5,3,2.15
"20201102-Logrones-Alcorcon",2020-11-02,"20_21","Logrones","Alcorcon","H",1,0,0.4,0,1.4,0.2,1,0,1.2,0.2,1.2,1.2,9.6,9,4.8,4.2,2.8,1.6,19,22,1,2.5,2.62,3.4
"20201102-SpGijon-Castellon",2020-11-02,"20_21","Sp Gijon","Castellon","H",1,0,0.4,0,1.4,0.2,2,0,1,0.6,1,1.4,10.6,9,3.8,6.6,1.6,2.4,3,19,1,1.95,2.75,5
"20201102-Malaga-Espanol",2020-11-02,"20_21","Malaga","Espanol","A",0,3,0.4,0.6,1.6,2,0,1,1,1,1,0.2,8.8,11,3.2,5.2,2,1.8,9,2,0,4.2,2.9,2
